,,,,,,,,,,,,,,,
REFERENCIA,R544000,SECUENCIA DE EVENTOS,"Min. Std ""D""",,1.115,"Min. Std ""D""(P&F)/1,3",,0.849548,Ciclos posibles,,269.618,P&Fi,,5.512,"Nº piezas
autonomía"
CELULA,142C,,"Min. Std ""R""",,0.162,"Min. Std ""R""(P&F)/1,3",,0.112646,Ciclos posibles Hombre,,460.831,Piezas,,269.618,
MC,0.93,,Ida,,0.969,C.W,,1.780,Min.de trabajo manual,,274.990,Std,,4.15,45
,,,,,,,,,,,,,,,
,,Carga,0.00,0,,,,,,,,,,,
,,Traslados.,0.02,6.127677727,,,,,,,,,,,
,,Verificación,0.06,14.84095183,,,,,,,,,,,
,,Descarga,0.01,2.265538626,,,,,,,,,,,
,,Limpieza,0.06,15.32204369,,,,,,,,,,,
,,Cambio de carga,0.03,7.79108691,,,,,,,,,,,
,,Grafico,0.01,1.988431422,,,,,,,,,,,
,,CH,1.08,290.4666307,,,,,,,,,,,
,,,,,,,,,,,,,,,
MAQUINA,Nº,ELEMENTO,TIPO,T1,T2,T3,T4,T5,AC,P&F,MINUTOS STD,OCURRENCIA,MIN STD/CICLO,MIN STD/CICLO (P&F),DESCRIPCIÓN
TORNO,1,TORNEAR,MC,90,,,,,100,1.00,0.900,1,0.9000,0.900,Tiempo de máquina
TORNO,2,MEDICIÓN,MC,25,,,,,100,1.00,0.250,  1/10,0.0250,0.025,Tiempo de máquina
TORNO,3,"Posicionarse en mesa para verificar. G-10 = 0,052",R,5.2,,,,,100,1.10,0.057,   1/100,0.0006,0.001,Verificación
TORNO,4,Soplar con manguera de aire pieza a verificar.,R,20,24,18,18,20,105,1.11,0.233,   1/100,0.0023,0.002,Verificación
TORNO,5,"Tol. Verificar calibre de herradura. (Diámetro exterior Ø 91,08 +- 0,05 F 30=0,120+0,06=0,180",R,18,,,,,100,1.10,0.198,   1/100,0.0020,0.002,Verificación
TORNO,6,"Tol. Verificar diametro chaflan.  6,09 ± 0,1 ",R,18,,,,,100,1.10,0.198,   1/100,0.0020,0.002,Verificación
TORNO,7,"Tol. Verificar calibre de herradura. (Anchura Ø 32,10-32,15))",R,18,,,,,100,1.10,0.198,   1/100,0.0020,0.002,Verificación
TORNO,8,"Tol. Verificar alexómetro (Diámetro interior Ø 56,06 (+0,07 / +0,05)) ",R,10.3,,,,,100,1.10,0.113,   1/100,0.0011,0.001,Verificación
TORNO,9,Tol. Verificar Paralelismo,R,16,,,,,100,1.10,0.180,   1/100,0.0018,0.002,Verificación
